iter	Passed	Remaining
678	6404	3027
679	6412	3017
680	6426	3010
681	6444	3004
682	6454	2995
683	6463	2986
684	6474	2977
685	6483	2967
686	6490	2957
687	6499	2947
688	6507	2937
689	6516	2927
690	6523	2917
691	6534	2908
692	6545	2899
693	6556	2890
694	6566	2881
695	6576	2872
696	6587	2863
697	6598	2855
698	6609	2846
699	6620	2837
700	6628	2827
701	6636	2817
702	6646	2807
703	6654	2798
704	6664	2788
705	6671	2778
706	6681	2769
707	6690	2759
708	6698	2749
709	6706	2739
710	6714	2729
711	6721	2718
712	6730	2709
713	6737	2698
714	6749	2690
715	6756	2679
716	6765	2670
717	6772	2660
718	6781	2650
719	6788	2640
720	6797	2630
721	6805	2620
722	6813	2610
723	6821	2600
724	6837	2593
725	6851	2585
726	6862	2577
727	6872	2567
728	6881	2558
729	6892	2549
730	6902	2539
731	6912	2530
732	6921	2521
733	6933	2512
734	6945	2504
735	6954	2494
736	6965	2485
737	6975	2476
738	6985	2467
739	6996	2458
740	7007	2449
741	7016	2439
742	7028	2431
743	7039	2422
744	7049	2412
745	7061	2404
746	7069	2394
747	7080	2385
748	7092	2376
749	7102	2367
750	7113	2358
751	7123	2349
752	7131	2339
753	7140	2329
754	7148	2319
755	7158	2310
756	7165	2300
757	7174	2290
758	7181	2280
759	7190	2270
760	7197	2260
761	7206	2250
762	7213	2240
763	7222	2231
764	7230	2221
765	7240	2211
766	7249	2202
767	7259	2192
768	7266	2182
769	7274	2173
770	7282	2162
771	7290	2153
772	7298	2143
773	7306	2133
774	7314	2123
775	7322	2113
776	7330	2103
777	7339	2094
778	7347	2084
779	7358	2075
780	7367	2065
781	7374	2055
782	7381	2045
783	7390	2036
784	7397	2026
785	7405	2016
786	7413	2006
787	7421	1996
788	7429	1986
789	7437	1977
790	7445	1967
791	7455	1957
792	7462	1948
793	7471	1938
794	7478	1928
795	7489	1919
796	7497	1909
797	7505	1899
798	7512	1889
799	7521	1880
800	7528	1870
801	7537	1860
802	7544	1850
803	7553	1841
804	7561	1831
805	7573	1822
806	7584	1813
807	7593	1804
808	7603	1795
809	7610	1785
810	7618	1775
811	7626	1765
812	7636	1756
813	7644	1746
814	7651	1736
815	7659	1727
816	7707	1726
817	7732	1720
818	7753	1713
819	7775	1706
820	7787	1697
821	7814	1692
822	7821	1682
823	7830	1672
824	7837	1662
825	7846	1652
826	7853	1642
827	7862	1633
828	7870	1623
829	7883	1614
830	7891	1604
831	7899	1595
832	7907	1585
833	7915	1575
834	7922	1565
835	7931	1555
836	7938	1545
837	7946	1536
838	7953	1526
